Number,E-Word,EP-Word,Val-M,Val-SD,Arou-M,Arou-SD,Dom-M,Dom-SD,Freq,Nlett,Nsyll ,GClass,Neigh
171,fraud,fraude,2.25,1.12,6.56,2.05,3.85,1.99,11.84,6,2,N,1
172,free,livre,8.12,1.39,4.81,2.81,7.23,2.25,144.54,5,2,ADJ/ADV/N,1
173,freedom,liberdade,8.47,0.98,3.97,3.21,7.70,1.51,109.13,9,4,N,0
174,friend,amigo,8.50,0.69,4.97,3.05,6.19,3.00,277.66,5,3,ADJ/N,2
175,friendly,amigável,7.73,1.14,3.58,2.57,5.71,2.35,4.38,8,4,ADJ,0
176,frog,sapo,4.69,1.45,4.39,2.15,5.71,1.85,2.96,4,2,N,2
177,frustrated,frustrado,2.50,1.21,5.76,2.20,4.17,2.17,4.01,9,3,ADJ/N,0
178,funeral,funeral,1.39,0.88,6.65,2.25,3.71,2.68,14.87,7,3,ADJ/N,0
179,fungus,fungo,3.56,1.42,4.89,2.18,4.81,2.14,5.49,5,2,N,1
180,fur,peles,4.11,1.79,4.67,1.68,5.35,1.46,UnAv,5,2,N/V,UnAv
181,gangrene,gangrena,1.94,1.75,5.50,2.47,4.35,2.48,0.80,8,3,N,1
182,garbage,porcaria,2.82,1.61,4.81,1.92,4.48,1.64,8.08,8,4,N,1
183,gentle,gentil,7.82,1.14,3.11,2.07,6.09,2.43,4.75,6,2,ADJ,1
184,gift,prenda,8.06,0.98,5.41,2.89,5.78,2.28,4.87,6,2,N,2
185,girl,rapariga,5.74,1.12,4.39,1.87,5.06,1.50,101.23,8,4,N,0
186,glacier,glaciar,5.00,1.44,4.17,2.02,4.16,1.80,3.27,7,3,N,1
187,glamour,glamour,7.07,1.21,5.23,2.83,6.00,1.95,0.86,7,2,N,UnAv
188,gloom,pessimismo,2.13,1.10,6.20,1.36,3.64,2.16,5.98,10,4,N,0
189,glory,glória,7.10,1.62,5.41,2.15,5.87,2.11,20.42,6,2,N,0
190,god,deus,5.79,1.50,3.40,2.14,4.36,2.36,81.37,4,1,N,5
191,gold,ouro,6.32,1.44,4.79,1.97,5.70,1.58,103.76,4,2,N,12
192,graduate,licenciado,6.94,1.69,4.53,2.49,6.17,2.24,9.44,10,5,ADJ/N,UnAv
193,grateful,agradecido,7.31,1.37,3.72,2.70,6.31,2.22,0.43,10,5,ADJ,UnAv
194,green,verde,6.68,1.52,3.35,2.51,4.88,2.36,114.37,5,2,ADJ/N,2
195,grief,desgosto,2.18,1.13,5.29,3.04,3.37,2.68,16.04,8,3,N,0
196,guillotine,guilhotina,2.87,1.79,6.04,2.10,3.73,2.53,2.22,10,4,N,1
197,guilty,culpado,2.75,1.44,5.79,1.98,4.61,2.41,15.67,7,3,N,UnAv
198,hammer,martelo,4.41,1.31,4.00,1.92,5.05,1.57,9.01,7,3,N,1
199,handsome,bonito,7.46,1.09,4.39,2.18,5.36,1.68,92.04,6,3,ADJ/N,0
200,happy,feliz,7.96,1.31,5.12,3.15,7.64,1.36,85.93,5,2,ADJ,0
201,hate,odiar,2.03,1.23,6.45,2.47,4.63,2.22,15.42,5,2,V,1
202,hatred,ódio,1.63,0.97,7.46,1.90,4.43,2.57,22.95,4,2,N,3
203,headache,enxaqueca,2.29,1.13,5.59,2.10,3.59,1.97,0.86,9,4,N,0
204,health,saúde,7.60,1.56,3.38,2.43,4.95,2.48,168.90,5,3,N,0
205,heaven,céu,7.72,1.39,2.85,2.03,4.17,2.63,92.35,3,1,N,5
206,helpless,indefeso,3.08,1.36,5.50,2.48,3.31,2.27,3.89,8,4,ADJ,0
207,hide,esconder,4.28,1.40,4.42,2.18,4.91,2.12,75.51,8,3,V,0
208,history,história,5.92,1.59,3.34,2.07,5.37,2.27,323.87,8,3,N,1
209,home,lar,7.66,1.88,2.68,2.28,4.90,2.28,35.10,3,1,N,7
210,honest,honesto,7.86,1.29,3.72,2.75,6.15,2.09,13.63,7,3,ADJ,0
211,honor,honra,6.71,1.50,4.06,2.42,6.47,1.83,47.99,5,2,N,2
212,hopeful,esperançado,7.70,0.87,4.83,2.37,6.62,1.56,0.74,11,5,ADJ,UnAv
213,horror,horror,2.58,2.03,6.48,1.50,3.63,2.22,21.71,6,2,N,0
214,horse,cavalo,6.00,1.67,3.86,2.56,4.40,2.70,95.25,6,3,N,4
215,hospital,hospital,2.83,2.17,6.41,2.14,4.23,2.74,97.84,8,3,N,0
216,hostage,refém,2.19,1.30,6.52,2.06,3.32,2.06,7.65,5,2,N,0
217,hostile,hostil,3.50,1.63,5.19,2.20,5.05,2.37,8.64,6,2,ADJ,0
218,hug,abraço,8.58,0.72,3.50,2.95,7.05,2.24,17.58,6,3,N,1
219,humble,humilde,7.27,1.28,2.75,1.69,5.76,2.26,19.25,7,3,ADJ/N,0
220,humor,humor,7.57,1.31,4.70,2.63,6.65,1.72,27.45,5,2,N,3
221,hungry,esfomeado,3.08,1.25,6.33,2.31,3.93,1.53,2.53,9,5,ADJ/N,0
222,hurt,ferido,2.53,1.30,6.20,2.03,4.03,2.25,54.66,6,3,ADJ/N,3
223,idiot,idiota,3.67,1.84,4.79,2.15,4.77,2.32,8.33,6,4,ADJ/N,2
224,impotent,impotente,2.53,1.80,6.38,2.50,2.95,2.24,7.16,9,4,ADJ/N,1
225,impressed,impressionado,6.50,1.27,5.18,2.06,5.76,1.51,4.94,13,6,ADJ,UnAv
226,improve,melhorar,7.21,1.62,4.41,2.27,6.14,2.60,72.79,8,3,V,0
227,industry,indústria,4.89,1.06,4.89,1.69,4.68,1.53,116.71,9,3,N,0
228,infection,infecção,2.19,1.09,6.00,1.84,3.74,2.44,30.78,8,3,N,1
229,ink,tinta,5.48,1.33,4.35,2.17,4.81,2.24,25.72,5,2,N,9
230,insecure,inseguro,3.19,1.04,6.20,1.91,3.52,2.43,6.11,8,4,ADJ,0
231,insolent,insolente,2.85,1.54,6.05,2.30,4.14,1.81,1.79,9,4,ADJ/N,2
232,inspire,inspirar,7.24,1.50,4.53,2.62,6.41,2.24,29.73,8,3,V,0
233,inspired,inspirado,7.48,1.24,5.09,2.43,6.35,2.32,7.09,9,4,ADJ,UnAv
234,interest,interesse,6.74,1.50,5.52,2.42,6.37,2.06,213.50,9,4,N,0
235,irritate,irritar,2.61,1.20,6.39,2.38,5.23,2.12,17.95,7,3,V,1
236,jail,cadeia,3.00,1.70,5.25,2.54,3.25,2.41,54.96,6,3,N,4
237,jealousy,ciúme,2.83,1.34,6.25,1.73,4.64,2.34,12.95,5,3,N,0
238,jelly,gelatina,6.00,1.48,3.32,1.89,6.14,2.85,3.21,8,4,N,0
239,jewel,jóia,6.41,1.29,4.60,1.96,5.83,1.56,25.17,4,1,N,1
240,joy,alegria,8.35,0.92,6.00,2.72,7.10,1.65,70.45,7,4,N,1
